PLANT_NAME,MATERIAL_NAME,YEAR_MONTH,STOCK_MT,STOCK_SELL_VALUE,INBOUND_MT,OUTBOUND_MT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,NET_CHANGE_MT,CALCULATED_INVENTORY_MT,DATE
CHINA-WAREHOUSE,MAT-0003,2024-05,39.168,36426.0,0.0,0.0,P-004,2,0.0,-73.37,2024-05-01
CHINA-WAREHOUSE,MAT-0003,2024-06,39.168,36426.0,0.0,0.0,P-004,2,0.0,-73.37,2024-06-01
CHINA-WAREHOUSE,MAT-0003,2024-07,97.92,91065.0,58.751999999999995,0.0,P-004,2,58.751999999999995,-14.61800000000001,2024-07-01
CHINA-WAREHOUSE,MAT-0003,2024-08,97.92,91065.0,19.584,0.0,P-004,2,19.584,4.96599999999999,2024-08-01
CHINA-WAREHOUSE,MAT-0003,2024-09,117.504,109278.0,0.0,0.0,P-004,2,0.0,4.96599999999999,2024-09-01
CHINA-WAREHOUSE,MAT-0003,2024-10,117.504,109278.0,0.0,0.0,P-004,2,0.0,4.96599999999999,2024-10-01
CHINA-WAREHOUSE,MAT-0003,2024-11,117.504,109278.0,0.0,0.0,P-004,2,0.0,4.96599999999999,2024-11-01
CHINA-WAREHOUSE,MAT-0003,2024-12,117.504,109278.0,0.0,0.0,P-004,2,0.0,4.96599999999999,2024-12-01
CHINA-WAREHOUSE,MAT-0004,2023-12,85.675,909870.0,0.0,0.0,P-002,3,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0004,2024-01,83.925,0.0,0.0,0.0,P-002,3,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0004,2024-02,83.925,891284.0,0.0,0.0,P-002,3,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0004,2024-03,80.925,859424.0,0.0,3.0,P-002,3,-3.0,-3.0,2024-03-01
CHINA-WAREHOUSE,MAT-0004,2024-04,74.95,795969.0,0.0,0.0,P-002,3,0.0,-3.0,2024-04-01
CHINA-WAREHOUSE,MAT-0004,2024-05,74.95,795969.0,0.0,0.0,P-002,3,0.0,-3.0,2024-05-01
CHINA-WAREHOUSE,MAT-0004,2024-06,73.475,780305.0,0.0,1.45,P-002,3,-1.45,-4.45,2024-06-01
CHINA-WAREHOUSE,MAT-0004,2024-07,72.0,764640.0,0.0,1.48,P-002,3,-1.48,-5.93,2024-07-01
CHINA-WAREHOUSE,MAT-0004,2024-08,72.0,764640.0,0.0,0.0,P-002,3,0.0,-5.93,2024-08-01
CHINA-WAREHOUSE,MAT-0004,2024-09,72.0,764640.0,0.0,0.0,P-002,3,0.0,-5.93,2024-09-01
CHINA-WAREHOUSE,MAT-0005,2023-12,0.025,178.0,0.0,0.0,P-002,5,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0005,2024-01,0.0,0.0,0.0,0.03,P-002,5,-0.03,-0.03,2024-01-01
CHINA-WAREHOUSE,MAT-0006,2023-12,3.85,29222.0,0.0,0.0,P-002,8,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0006,2024-01,3.85,0.0,0.0,0.0,P-002,8,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0006,2024-02,3.85,29222.0,0.0,0.0,P-002,8,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0007,2023-11,0.0,0.0,233.75,0.0,P-001,2,233.75,233.75,2023-11-01
CHINA-WAREHOUSE,MAT-0007,2023-12,117.725,246046.0,495.0,0.0,P-001,2,495.0,728.75,2023-12-01
CHINA-WAREHOUSE,MAT-0007,2024-01,116.275,243016.0,297.0,141.65,P-001,2,155.35,884.1,2024-01-01
CHINA-WAREHOUSE,MAT-0007,2024-02,803.375,1679058.0,93.5,49.51,P-001,2,43.99,928.09,2024-02-01
CHINA-WAREHOUSE,MAT-0007,2024-03,876.0,1830843.0,148.5,75.78999999999999,P-001,2,72.71000000000001,1000.8,2024-03-01
CHINA-WAREHOUSE,MAT-0007,2024-04,814.05,1701368.0,222.75,155.43,P-001,2,67.32,1068.12,2024-04-01
CHINA-WAREHOUSE,MAT-0007,2024-05,1024.375,2140948.0,198.0,61.900000000000006,P-001,2,136.1,1204.22,2024-05-01
CHINA-WAREHOUSE,MAT-0007,2024-06,1276.4,2667681.0,346.5,292.48,P-001,2,54.01999999999998,1258.24,2024-06-01
CHINA-WAREHOUSE,MAT-0007,2024-07,1039.6,2172770.0,0.0,360.56,P-001,2,-360.56,897.68,2024-07-01
CHINA-WAREHOUSE,MAT-0007,2024-08,857.175,1791499.0,0.0,157.73,P-001,2,-157.73,739.9499999999999,2024-08-01
CHINA-WAREHOUSE,MAT-0007,2024-09,538.75,1125990.0,140.25,318.46,P-001,2,-178.20999999999998,561.74,2024-09-01
CHINA-WAREHOUSE,MAT-0007,2024-10,77.325,161610.0,148.5,461.39,P-001,2,-312.89,248.85000000000002,2024-10-01
CHINA-WAREHOUSE,MAT-0007,2024-11,154.225,322331.0,148.5,211.78,P-001,2,-63.28,185.57000000000002,2024-11-01
CHINA-WAREHOUSE,MAT-0007,2024-12,409.825,856536.0,0.0,140.4,P-001,2,-140.4,45.170000000000016,2024-12-01
CHINA-WAREHOUSE,MAT-0008,2023-12,1.25,16188.0,0.0,0.0,P-002,3,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0008,2024-01,1.25,0.0,0.0,0.0,P-002,3,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0008,2024-02,1.25,0.0,0.0,0.0,P-002,3,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0008,2024-03,1.25,0.0,0.0,0.0,P-002,3,0.0,0.0,2024-03-01
CHINA-WAREHOUSE,MAT-0008,2024-05,0.0,0.0,0.0,0.1,P-002,3,-0.1,-0.1,2024-05-01
CHINA-WAREHOUSE,MAT-0008,2024-07,0.0,0.0,0.0,0.03,P-002,3,-0.03,-0.13,2024-07-01
CHINA-WAREHOUSE,MAT-0008,2024-12,0.0,0.0,0.0,0.03,P-002,3,-0.03,-0.16,2024-12-01
CHINA-WAREHOUSE,MAT-0009,2023-11,0.0,0.0,228.79999999999998,0.0,P-002,5,228.79999999999998,228.79999999999998,2023-11-01
CHINA-WAREHOUSE,MAT-0009,2023-12,577.2,1812408.0,748.8,0.0,P-002,5,748.8,977.5999999999999,2023-12-01
CHINA-WAREHOUSE,MAT-0009,2024-01,618.8,1943032.0,0.0,936.0,P-002,5,-936.0,41.59999999999991,2024-01-01
CHINA-WAREHOUSE,MAT-0009,2024-02,202.8,636792.0,0.0,416.0,P-002,5,-416.0,-374.4000000000001,2024-02-01
CHINA-WAREHOUSE,MAT-0009,2024-03,15.600000000000001,48984.0,0.0,187.2,P-002,5,-187.2,-561.6000000000001,2024-03-01
CHINA-WAREHOUSE,MAT-0009,2024-04,15.600000000000001,48984.0,0.0,0.0,P-002,5,0.0,-561.6000000000001,2024-04-01
CHINA-WAREHOUSE,MAT-0009,2024-05,15.600000000000001,48984.0,0.0,0.0,P-002,5,0.0,-561.6000000000001,2024-05-01
CHINA-WAREHOUSE,MAT-0009,2024-06,297.7,934778.0,282.1,0.0,P-002,5,282.1,-279.50000000000006,2024-06-01
CHINA-WAREHOUSE,MAT-0009,2024-07,297.7,934778.0,0.0,0.0,P-002,5,0.0,-279.50000000000006,2024-07-01
CHINA-WAREHOUSE,MAT-0009,2024-08,297.7,934778.0,0.0,0.0,P-002,5,0.0,-279.50000000000006,2024-08-01
CHINA-WAREHOUSE,MAT-0009,2024-09,297.7,934778.0,0.0,0.0,P-002,5,0.0,-279.50000000000006,2024-09-01
CHINA-WAREHOUSE,MAT-0009,2024-10,297.7,934778.0,0.0,0.0,P-002,5,0.0,-279.50000000000006,2024-10-01
CHINA-WAREHOUSE,MAT-0009,2024-11,297.7,934778.0,30.538,0.0,P-002,5,30.538,-248.96200000000005,2024-11-01
CHINA-WAREHOUSE,MAT-0009,2024-12,321.08500000000004,1026619.0,0.0,0.0,P-002,5,0.0,-248.96200000000005,2024-12-01
CHINA-WAREHOUSE,MAT-0010,2024-03,0.075,482.0,0.0,0.0,P-002,5,0.0,0.0,2024-03-01
CHINA-WAREHOUSE,MAT-0010,2024-04,0.084,538.0,0.0,0.0,P-002,5,0.0,0.0,2024-04-01
CHINA-WAREHOUSE,MAT-0010,2024-05,0.084,538.0,0.0,0.0,P-002,5,0.0,0.0,2024-05-01
CHINA-WAREHOUSE,MAT-0010,2024-06,0.084,538.0,0.0,0.0,P-002,5,0.0,0.0,2024-06-01
CHINA-WAREHOUSE,MAT-0010,2024-07,0.084,538.0,0.0,0.0,P-002,5,0.0,0.0,2024-07-01
CHINA-WAREHOUSE,MAT-0010,2024-08,0.084,538.0,0.0,0.0,P-002,5,0.0,0.0,2024-08-01
CHINA-WAREHOUSE,MAT-0011,2024-02,0.0,0.0,74.25,0.0,P-001,3,74.25,74.25,2024-02-01
CHINA-WAREHOUSE,MAT-0011,2024-03,0.0,0.0,99.0,0.0,P-001,3,99.0,173.25,2024-03-01
CHINA-WAREHOUSE,MAT-0011,2024-04,169.45,391430.0,49.5,3.68,P-001,3,45.82,219.07,2024-04-01
CHINA-WAREHOUSE,MAT-0011,2024-05,168.85,390044.0,0.0,0.6,P-001,3,-0.6,218.47,2024-05-01
CHINA-WAREHOUSE,MAT-0011,2024-06,218.2,504043.0,0.0,0.15,P-001,3,-0.15,218.32,2024-06-01
CHINA-WAREHOUSE,MAT-0011,2024-07,216.825,500867.0,0.0,4.13,P-001,3,-4.13,214.19,2024-07-01
CHINA-WAREHOUSE,MAT-0011,2024-08,203.075,469104.0,0.0,11.0,P-001,3,-11.0,203.19,2024-08-01
CHINA-WAREHOUSE,MAT-0011,2024-09,203.075,469104.0,0.0,0.0,P-001,3,0.0,203.19,2024-09-01
CHINA-WAREHOUSE,MAT-0011,2024-10,202.575,467949.0,0.0,0.5,P-001,3,-0.5,202.69,2024-10-01
CHINA-WAREHOUSE,MAT-0011,2024-11,199.825,461596.0,0.0,2.75,P-001,3,-2.75,199.94,2024-11-01
CHINA-WAREHOUSE,MAT-0011,2024-12,151.3,349504.0,0.0,48.54,P-001,3,-48.54,151.4,2024-12-01
CHINA-WAREHOUSE,MAT-0012,2024-06,24.75,56183.0,24.75,0.0,P-001,2,24.75,24.75,2024-06-01
CHINA-WAREHOUSE,MAT-0012,2024-07,22.0,49940.0,0.0,2.75,P-001,2,-2.75,22.0,2024-07-01
CHINA-WAREHOUSE,MAT-0012,2024-08,22.0,49940.0,0.0,0.0,P-001,2,0.0,22.0,2024-08-01
CHINA-WAREHOUSE,MAT-0012,2024-09,22.0,49940.0,0.0,0.0,P-001,2,0.0,22.0,2024-09-01
CHINA-WAREHOUSE,MAT-0012,2024-10,13.75,31213.0,0.0,8.25,P-001,2,-8.25,13.75,2024-10-01
CHINA-WAREHOUSE,MAT-0012,2024-11,13.75,31213.0,0.0,0.0,P-001,2,0.0,13.75,2024-11-01
CHINA-WAREHOUSE,MAT-0012,2024-12,13.75,31213.0,0.0,0.0,P-001,2,0.0,13.75,2024-12-01
CHINA-WAREHOUSE,MAT-0013,2023-12,386.275,4152457.0,0.0,0.0,P-002,3,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0013,2024-01,329.6,3543200.0,153.0,209.68,P-002,3,-56.68000000000001,-56.68000000000001,2024-01-01
CHINA-WAREHOUSE,MAT-0013,2024-02,535.0,5751251.0,280.5,75.0,P-002,3,205.5,148.82,2024-02-01
CHINA-WAREHOUSE,MAT-0013,2024-03,428.275,4603957.0,408.0,106.73,P-002,3,301.27,450.09,2024-03-01
CHINA-WAREHOUSE,MAT-0013,2024-04,674.025,7245770.0,0.0,162.06,P-002,3,-162.06,288.03,2024-04-01
CHINA-WAREHOUSE,MAT-0013,2024-05,538.9,5793176.0,0.0,135.14,P-002,3,-135.14,152.89,2024-05-01
CHINA-WAREHOUSE,MAT-0013,2024-06,391.35,4207013.0,0.0,165.5,P-002,3,-165.5,-12.610000000000014,2024-06-01
CHINA-WAREHOUSE,MAT-0013,2024-07,420.575,4521181.0,280.5,233.07,P-002,3,47.43000000000001,34.81999999999999,2024-07-01
CHINA-WAREHOUSE,MAT-0013,2024-08,274.425,2950069.0,0.0,146.15,P-002,3,-146.15,-111.33000000000001,2024-08-01
CHINA-WAREHOUSE,MAT-0013,2024-09,349.325,3755244.0,229.5,154.45,P-002,3,75.05000000000001,-36.28,2024-09-01
CHINA-WAREHOUSE,MAT-0013,2024-10,412.1,4430075.0,229.5,166.49,P-002,3,63.00999999999999,26.72999999999999,2024-10-01
CHINA-WAREHOUSE,MAT-0013,2024-11,112.25,1206688.0,154.5,299.85,P-002,3,-145.35000000000002,-118.62000000000003,2024-11-01
CHINA-WAREHOUSE,MAT-0013,2024-12,68.8,739601.0,51.0,248.84,P-002,3,-197.84,-316.46000000000004,2024-12-01
CHINA-WAREHOUSE,MAT-0014,2023-12,0.025,67.0,0.0,0.0,P-001,3,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0014,2024-01,0.022,0.0,0.0,0.0,P-001,3,0.0,0.0,2024-01-01
CHINA-WAREHOUSE,MAT-0014,2024-02,0.022,59.0,0.0,0.0,P-001,3,0.0,0.0,2024-02-01
CHINA-WAREHOUSE,MAT-0014,2024-03,0.16,428.0,0.0,0.0,P-001,3,0.0,0.0,2024-03-01
CHINA-WAREHOUSE,MAT-0014,2024-04,0.221,593.0,0.0,0.0,P-001,3,0.0,0.0,2024-04-01
CHINA-WAREHOUSE,MAT-0014,2024-05,0.221,593.0,0.0,0.0,P-001,3,0.0,0.0,2024-05-01
CHINA-WAREHOUSE,MAT-0014,2024-06,0.0,0.0,0.0,0.22,P-001,3,-0.22,-0.22,2024-06-01
CHINA-WAREHOUSE,MAT-0015,2023-12,1762.45,9813310.0,0.0,0.0,P-001,8,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0015,2024-01,1184.375,6197304.0,0.0,552.96,P-001,8,-552.96,-552.96,2024-01-01
CHINA-WAREHOUSE,MAT-0015,2024-02,1030.375,5167897.0,0.0,253.01999999999998,P-001,8,-253.01999999999998,-805.98,2024-02-01
CHINA-WAREHOUSE,MAT-0015,2024-03,1023.625,4728173.0,594.0,200.04999999999998,P-001,8,393.95000000000005,-412.03,2024-03-01
CHINA-WAREHOUSE,MAT-0015,2024-04,851.625,4467156.0,0.0,725.9,P-001,8,-725.9,-1137.9299999999998,2024-04-01
CHINA-WAREHOUSE,MAT-0015,2024-05,229.35000000000002,1611086.0,0.0,563.01,P-001,8,-563.01,-1700.94,2024-05-01
CHINA-WAREHOUSE,MAT-0015,2024-06,450.725,2144394.0,371.25,298.39,P-001,8,72.86000000000001,-1628.08,2024-06-01
CHINA-WAREHOUSE,MAT-0015,2024-07,374.8,1690348.0,420.75,521.35,P-001,8,-100.60000000000002,-1728.6799999999998,2024-07-01
CHINA-WAREHOUSE,MAT-0015,2024-08,104.8,472648.0,495.0,393.77,P-001,8,101.23000000000002,-1627.4499999999998,2024-08-01
CHINA-WAREHOUSE,MAT-0015,2024-09,1798.3249999999998,8110445.0,1930.5,730.64,P-001,8,1199.8600000000001,-427.5899999999997,2024-09-01
CHINA-WAREHOUSE,MAT-0015,2024-10,1525.65,6880682.0,396.0,669.91,P-001,8,-273.90999999999997,-701.4999999999997,2024-10-01
CHINA-WAREHOUSE,MAT-0015,2024-11,822.5,3709475.0,0.0,701.89,P-001,8,-701.89,-1403.3899999999996,2024-11-01
CHINA-WAREHOUSE,MAT-0015,2024-12,756.7,3412718.0,0.0,661.11,P-001,8,-661.11,-2064.4999999999995,2024-12-01
CHINA-WAREHOUSE,MAT-0016,2024-11,0.0,0.0,0.0,98.95,P-001,5,-98.95,-98.95,2024-11-01
CHINA-WAREHOUSE,MAT-0017,2023-12,0.0,0.0,120.0,0.0,P-002,6,120.0,120.0,2023-12-01
CHINA-WAREHOUSE,MAT-0017,2024-01,119.65,1020615.0,0.0,0.35,P-002,6,-0.35,119.65,2024-01-01
CHINA-WAREHOUSE,MAT-0017,2024-02,74.6,636339.0,420.0,45.0,P-002,6,375.0,494.65,2024-02-01
CHINA-WAREHOUSE,MAT-0017,2024-03,52.1,444414.0,380.0,22.5,P-002,6,357.5,852.15,2024-03-01
CHINA-WAREHOUSE,MAT-0017,2024-04,20.0,841698.0,0.0,0.1,P-002,6,-0.1,852.05,2024-04-01
CHINA-WAREHOUSE,MAT-0017,2024-05,39.975,2524880.0,0.0,0.03,P-002,6,-0.03,852.02,2024-05-01
CHINA-WAREHOUSE,MAT-0017,2024-06,39.975,2524880.0,0.0,0.0,P-002,6,0.0,852.02,2024-06-01
CHINA-WAREHOUSE,MAT-0017,2024-07,39.9,2524241.0,0.0,0.09,P-002,6,-0.09,851.93,2024-07-01
CHINA-WAREHOUSE,MAT-0017,2024-08,34.75,2480311.0,0.0,5.15,P-002,6,-5.15,846.78,2024-08-01
CHINA-WAREHOUSE,MAT-0017,2024-09,813.65,6940437.0,1000.0,32.58,P-002,6,967.42,1814.1999999999998,2024-09-01
CHINA-WAREHOUSE,MAT-0017,2024-10,991.075,8453876.0,340.0,22.58,P-002,6,317.42,2131.62,2024-10-01
CHINA-WAREHOUSE,MAT-0017,2024-11,834.825,7121063.0,0.0,112.5,P-002,6,-112.5,2019.12,2024-11-01
CHINA-WAREHOUSE,MAT-0017,2024-12,2014.625,17184760.0,0.0,0.0,P-002,6,0.0,2019.12,2024-12-01
CHINA-WAREHOUSE,MAT-0018,2024-06,247.5,1128600.0,247.5,0.0,P-001,4,247.5,247.5,2024-06-01
CHINA-WAREHOUSE,MAT-0018,2024-07,305.125,1391370.0,148.5,90.81,P-001,4,57.69,305.19,2024-07-01
CHINA-WAREHOUSE,MAT-0018,2024-08,305.125,1391370.0,0.0,0.0,P-001,4,0.0,305.19,2024-08-01
CHINA-WAREHOUSE,MAT-0018,2024-09,205.375,936510.0,0.0,99.75,P-001,4,-99.75,205.44,2024-09-01
CHINA-WAREHOUSE,MAT-0018,2024-10,129.75,591660.0,0.0,75.63,P-001,4,-75.63,129.81,2024-10-01
CHINA-WAREHOUSE,MAT-0018,2024-11,80.25,365940.0,0.0,49.5,P-001,4,-49.5,80.31,2024-11-01
CHINA-WAREHOUSE,MAT-0018,2024-12,129.75,591660.0,0.0,74.25,P-001,4,-74.25,6.060000000000002,2024-12-01
CHINA-WAREHOUSE,MAT-0019,2024-08,0.0,0.0,240.8,0.0,P-002,7,240.8,240.8,2024-08-01
CHINA-WAREHOUSE,MAT-0019,2024-09,231.65,917334.0,0.0,9.1,P-002,7,-9.1,231.70000000000002,2024-09-01
CHINA-WAREHOUSE,MAT-0019,2024-10,204.65,810414.0,0.0,27.0,P-002,7,-27.0,204.70000000000002,2024-10-01
CHINA-WAREHOUSE,MAT-0019,2024-11,204.54999999999998,810018.0,0.0,0.1,P-002,7,-0.1,204.60000000000002,2024-11-01
CHINA-WAREHOUSE,MAT-0019,2024-12,199.5,790020.0,0.0,5.0600000000000005,P-002,7,-5.0600000000000005,199.54000000000002,2024-12-01
CHINA-WAREHOUSE,MAT-0020,2024-11,148.5,1127115.0,148.5,0.0,P-001,3,148.5,148.5,2024-11-01
CHINA-WAREHOUSE,MAT-0020,2024-12,148.5,1127115.0,0.0,0.0,P-001,3,0.0,148.5,2024-12-01
CHINA-WAREHOUSE,MAT-0021,2024-11,0.0,0.0,49.5,0.0,P-001,4,49.5,49.5,2024-11-01
CHINA-WAREHOUSE,MAT-0021,2024-12,49.5,185131.0,0.0,0.0,P-001,4,0.0,49.5,2024-12-01
CHINA-WAREHOUSE,MAT-0027,2024-09,99.0,451440.0,99.0,0.0,P-001,4,99.0,99.0,2024-09-01
CHINA-WAREHOUSE,MAT-0027,2024-10,99.0,451440.0,0.0,0.0,P-001,4,0.0,99.0,2024-10-01
CHINA-WAREHOUSE,MAT-0027,2024-11,99.0,451440.0,0.0,0.0,P-001,4,0.0,99.0,2024-11-01
CHINA-WAREHOUSE,MAT-0027,2024-12,99.0,451440.0,0.0,0.0,P-001,4,0.0,99.0,2024-12-01
CHINA-WAREHOUSE,MAT-0032,2023-12,347.8,1377288.0,0.0,0.0,P-002,11,0.0,0.0,2023-12-01
CHINA-WAREHOUSE,MAT-0032,2024-01,500.70000000000005,1982772.0,153.0,0.0,P-002,11,153.0,153.0,2024-01-01
CHINA-WAREHOUSE,MAT-0032,2024-02,500.525,1982079.0,484.5,0.19,P-002,11,484.31,637.31,2024-02-01
CHINA-WAREHOUSE,MAT-0032,2024-03,494.45000000000005,1958022.0,0.0,6.03,P-002,11,-6.03,631.28,2024-03-01
CHINA-WAREHOUSE,MAT-0032,2024-04,494.32500000000005,1957527.0,0.0,0.13,P-002,11,-0.13,631.15,2024-04-01
CHINA-WAREHOUSE,MAT-0032,2024-05,417.65,1653894.0,0.0,76.65,P-002,11,-76.65,554.5,2024-05-01
CHINA-WAREHOUSE,MAT-0032,2024-06,290.075,1148697.0,0.0,127.5,P-002,11,-127.5,427.0,2024-06-01
CHINA-WAREHOUSE,MAT-0032,2024-07,264.425,1047123.0,76.5,102.11,P-002,11,-25.61,401.39,2024-07-01
CHINA-WAREHOUSE,MAT-0032,2024-08,813.275,3220569.0,79.5,1.6,P-002,11,77.9,479.29,2024-08-01
CHINA-WAREHOUSE,MAT-0032,2024-09,673.625,2667555.0,0.0,153.15,P-002,11,-153.15,326.14,2024-09-01
CHINA-WAREHOUSE,MAT-0032,2024-10,443.97499999999997,1758141.0,0.0,229.66,P-002,11,-229.66,96.47999999999999,2024-10-01
CHINA-WAREHOUSE,MAT-0032,2024-11,61.45,243342.0,0.0,382.54,P-002,11,-382.54,-286.06000000000006,2024-11-01
CHINA-WAREHOUSE,MAT-0032,2024-12,154.4,611424.0,153.0,60.019999999999996,P-002,11,92.98,-193.07999999999998,2024-12-01
CHINA-WAREHOUSE,MAT-0033,2024-11,0.0,0.0,792.0,0.0,P-002,6,792.0,792.0,2024-11-01
CHINA-WAREHOUSE,MAT-0033,2024-12,1163.0,1011811.0,0.0,0.0,P-002,6,0.0,792.0,2024-12-01
CHINA-WAREHOUSE,MAT-0035,2023-12,476.925,1888623.0,247.5,0.0,P-002,6,247.5,247.5,2023-12-01
CHINA-WAREHOUSE,MAT-0035,2024-01,304.75,1206810.0,396.0,155.43,P-002,6,240.57,488.07,2024-01-01
CHINA-WAREHOUSE,MAT-0035,2024-02,552.2,2186712.0,0.0,0.0,P-002,6,0.0,488.07,2024-02-01
CHINA-WAREHOUSE,MAT-0035,2024-03,1042.6,4128696.0,0.0,6.88,P-002,6,-6.88,481.19,2024-03-01
CHINA-WAREHOUSE,MAT-0035,2024-04,943.525,3736359.0,0.0,99.0,P-002,6,-99.0,382.19,2024-04-01
CHINA-WAREHOUSE,MAT-0035,2024-05,941.475,3728241.0,0.0,2.0,P-002,6,-2.0,380.19,2024-05-01
CHINA-WAREHOUSE,MAT-0035,2024-06,915.9,3626964.0,0.0,25.25,P-002,6,-25.25,354.94,2024-06-01
CHINA-WAREHOUSE,MAT-0035,2024-07,915.8,3626568.0,0.0,0.0,P-002,6,0.0,354.94,2024-07-01
CHINA-WAREHOUSE,MAT-0035,2024-08,914.425,3621123.0,0.0,1.38,P-002,6,-1.38,353.56,2024-08-01
